title,make_id,model_id,variant_id,body_id,year,center_id,color,vin,lot,doors,seats,fuel_type,fuel_details,transmission,transmission_details,euro_status,cc,keys,engine_runs,mileage,mileage_warranted,former_keepers,vat_status,bidding_history,last_bid,bidding_status,cap_new,cap_retail,cap_clean,cap_average,cap_below,glass_new,glass_retail,glass_trade,autotrader_retail_value,autotrader_trade_value,buy_now_price,start_date,start_time,end_date,mot_expiry_date,mot_due,inspection_date,dor,v5,reg,service_history,no_of_services,number_of_services_details,last_service,last_service_mileage,dvsa_mileage,inspection_report,other_report,service_notes,vendor,grade,tyres_condition,general_condition,brakes,hubs,features,equipment,additional_information,imported,declarations,damaged_images,damage_details,images
ALFA ROMEO MITO 1.3 JTDM 85 SPRINT Hatchback,ALFA ROMEO,MITO,JTDM,Hatchback,2012,Paddock Wood,BLACK,ZAR95500001185169,U418PW,3,,Diesel,Diesel,Manual Transmission,Manual Transmission,,1.3,2,False,79212,Yes,2.0,VAT Margin,"['£525', '£500', '£475', '£450', '£400']",525,On Sale,,,780,380,150,,,,,,,2026-01-03,09:30:00,,2026-09-22T00:00:00Z,,,,Present,GK12 OMY,,,,2021-01-20T00:00:00Z,67646,,https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=GK12 OMY-GB,,,,4,,,,,,"Air Conditioning, Alloy Wheels, Sunroof","[{'cO2': '95 g/km', 'nox': '0.163 g/km'}, 'na']",,,,,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665281801, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665281809, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665281820, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665281827, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665281839, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665281855, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665281868, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665281886, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665281904, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665281949"
ALFA ROMEO GIULIETTA 1.4 TB M/AIR 170 VELOCE Hatchback,ALFA ROMEO,GIULIETTA,TB,Hatchback,2011,Newcastle-u-Tyne,WHITE,ZAR94000007056141,U342NC,5,,Petrol,Petrol,Manual Transmission,Manual Transmission,,1.4,1,False,91361,Yes,4.0,VAT Margin,"['£900', '£875', '£850', '£800']",900,On Sale,,,1750,1350,910,,,,,,,2026-01-03,09:30:00,,2026-07-04T00:00:00Z,,,,Present,EN60 DGX,,,,2022-06-27T00:00:00Z,69895,,https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=EN60 DGX-GB,,,,4,,,,,,"Climate Control, Parking Sensor(s), Half Leather Trim, Temporary Spare Wheel, 17"" Alloy Wheels","[{'cO2': '134 g/km', 'nox': '0.029 g/km'}, 'na']",,,,,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664815268, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664815278, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664815285, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664815293, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664815304, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664815322, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664815341, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664815359, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664815377, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664815393"
ALFA ROMEO MITO 1.4 TB 120 LUSSO Hatchback,ALFA ROMEO,MITO,LUSSO,Hatchback,2009,Paddock Wood,RED,ZAR95500001074851,U441PW,3,,Petrol,Petrol,Manual Transmission,Manual Transmission,,1.4,2,False,91324,Yes,2.0,VAT Margin,"['£350', '£325', '£300']",350,On Sale,,,680,280,150,,,,,,,2026-01-03,09:30:00,,2025-12-28T00:00:00Z,,,,Present,EA59 BKO,,,,2023-12-29T00:00:00Z,79434,,https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=EA59 BKO-GB,,,,5,,,,,,"Air Conditioning, Alloy Wheels, Steel Spare Wheel","[{'cO2': '145 g/km', 'nox': '0.013 g/km'}, 'na']",,,,,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665564522, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665564539, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665564558, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665564564, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665564575, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665564593, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665564614, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665564632, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665564648, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665564670"
ALFA ROMEO MITO 0.9 TB T/AIR 105 DISTINCTIVE Hatchback,ALFA ROMEO,MITO,DISTINCTIVE,Hatchback,2013,Preston,RED,ZAR9550000X014438,U516PR,3,,Petrol,Petrol,Manual Transmission,Manual Transmission,,0.9,1,False,93691,Yes,5.0,VAT Margin,"['£275', '£250', '£225', '£200']",275,On Sale,,,1075,690,310,,,,,,,2026-01-03,09:30:00,,2026-06-18T00:00:00Z,,,,Present,NA63 YKF,,,,2022-12-16T00:00:00Z,70768,,https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=NA63 YKF-GB,,,,4,,,,,,"Air Conditioning, 17"" Alloy Wheels, Privacy Glass","[{'cO2': '99 g/km', 'nox': '0.034 g/km'}, 'na']",,,,,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665337688, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665337699, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665337718, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665337729, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665337736, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665337751, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665337773, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665337793, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665337808, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665337826"
AUDI A6 AVANT 2.0 TDI ULTRA 190 BLACK ED.S-T Estate,AUDI,A6 AVANT,T,Estate,2014,Newcastle-u-Tyne,GREY,WAUZZZ4G6EN159024,U344NC,5,,Diesel,Diesel,Auto Clutch,Auto Clutch,,2.0,2,False,132625,Yes,4.0,VAT Margin,"['£4,150', '£4,100', '£4,000', '£3,900', '£3,800', '£3,700']",4150,On Sale,,,5050,4525,3975,,,,,,,2026-01-03,09:30:00,,2026-04-25T00:00:00Z,,,,Present,KS14 LNU,,,,2015-12-15T00:00:00Z,17168,,https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=KS14 LNU-GB,,,,4,,,,,,"Navigation System, Navigation SD Card, Parking Sensor(s), Climate Control, Leather Trim, Temporary Spare Wheel, 20"" Alloy Wheels, Privacy Glass","[{'cO2': '119 g/km', 'nox': '0.054 g/km'}, ['Key Condition - Remote Inoperative']]",,,,,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665367359, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665367366, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665367373, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665367382, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665367391, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665367401, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665367411, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665367421, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665367433, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665367448"
AUDI Q5 2.0 TFSI QUATTRO S LINE S-T StationWagon,AUDI,Q5,S LINE,StationWagon,2011,Paddock Wood,GREY,WAUZZZ8R4BA086766,U402PW,5,,Petrol,Petrol,Auto Clutch,Auto Clutch,,2.0,2,False,52996,Yes,3.0,VAT Margin,"['£5,400', '£5,300', '£5,200', '£5,100', '£5,000']",5400,Reserve not met,,,4875,4200,3550,,,,,,,2026-01-03,09:30:00,,2026-03-31T00:00:00Z,,,,Present,NX11 KMY,,,,2025-03-24T00:00:00Z,52577,,https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=NX11 KMY-GB,,,,3,,,,,,"Parking Sensor(s), Climate Control, Half Leather Trim, 20"" Alloy Wheels, Privacy Glass","[{'cO2': '199 g/km', 'nox': '0.032 g/km'}, 'na']",,,,,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665282803, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665282816, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665282828, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665282842, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665282850, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665282863, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665282884, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665282905, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665282924, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665282942"
AUDI A3 SPORTBACK 2.0 TDI 140 BLACK ED.S/S Hatchback,AUDI,A3 SPORTBACK,,Hatchback,2012,Paddock Wood,WHITE,WAUZZZ8P2DA048406,U473PW,5,,Diesel,Diesel,Manual Transmission,Manual Transmission,,2.0,2,False,157941,Yes,3.0,VAT Margin,"['£1,950', '£1,900', '£1,800']",1950,On Sale,,,1975,1575,1150,,,,,,,2026-01-03,09:30:00,,2026-11-05T00:00:00Z,,,,Present,WR62 CKU,,,,2024-12-27T00:00:00Z,152764,,https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=WR62 CKU-GB,,,,3,,,,,,"Climate Control, Half Leather Trim, 18"" Alloy Wheels, Privacy Glass","[{'cO2': '115 g/km', 'nox': '0.120 g/km'}, 'na']",,,,,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664645655, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664645660, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664645666, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664645671, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664645676, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664645685, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664645693, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664645702, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664645709, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664645718"
AUDI A3 SPORTBACK 2.0 TDI 170 QUATTRO BLACK ED. Hatchback,AUDI,A3 SPORTBACK,,Hatchback,2011,Paddock Wood,BLACK,WAUZZZ8P8BA105897,U413PW,5,,Diesel,Diesel,Manual Transmission,Manual Transmission,,2.0,1,False,128620,Yes,2.0,VAT Margin,"['£1,525', '£1,500', '£1,475', '£1,450', '£1,400', '£1,300']",1525,On Sale,,,2275,1825,1375,,,,,,,2026-01-03,09:30:00,,2026-01-02T00:00:00Z,,,,Present,GJ11 BGX,,,,2019-01-30T00:00:00Z,95776,,https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=GJ11 BGX-GB,,,,5,,,,,,"Climate Control, Half Leather Trim, 18"" Alloy Wheels, Privacy Glass","[{'cO2': '135 g/km', 'nox': '0.120 g/km'}, 'na']",,,,,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664834420, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664834427, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664834436, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664834443, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664834448, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664834457, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664834468, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664834480, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664834501, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664834523"
AUDI A4 AVANT 2.0 TDIE 136 SE TECHNIK Estate,AUDI,A4 AVANT,SE,Estate,2012,Measham,BLACK,WAUZZZ8K6DA131597,U309MM,5,,Diesel,Diesel,Manual Transmission,Manual Transmission,,2.0,2,False,143907,Yes,5.0,VAT Margin,"['£1,650', '£1,600', '£1,500']",1650,On Sale,,,2250,1800,1350,,,,,,,2026-01-03,09:30:00,,2026-01-09T00:00:00Z,,,,Present,DE62 VSF,,,,2022-11-22T00:00:00Z,121150,,https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=DE62 VSF-GB,,,,4,,,,,,"Parking Sensor(s), Climate Control, Leather Trim, Temporary Spare Wheel, 18"" Alloy Wheels, Privacy Glass","[{'cO2': '116 g/km', 'nox': '0.147 g/km'}, 'na']",,,,,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664803757, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664803761, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664803765, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664803767, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664803769, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664803774, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664803777, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664803781, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664803785, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=664803788"
AUDI A6 2.0 TDI 170 S LINE SPECIAL ED.M-T Saloon,AUDI,A6,,Saloon,2010,Bedford,GREY,WAUZZZ4F2BN018289,U010BD,4,,Diesel,Diesel,CVT/Manual Mode,CVT/Manual Mode,,2.0,1,False,194472,Yes,4.0,VAT Margin,,,,,,1050,750,450,,,,,,,2026-01-03,09:30:00,,2026-08-24T00:00:00Z,,,,Present,RV60 LRK,,,,2020-09-14T00:00:00Z,166047,,https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=RV60 LRK-GB,,,,4,,,,,,"Navigation HDD, Navigation System, Parking Sensor(s), Climate Control, Leather Trim, 19"" Alloy Wheels, Privacy Glass","[{'cO2': '153 g/km', 'nox': '0.172 g/km'}, 'na']",,,,,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665537747, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665537751, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665537754, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665537759, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665537760, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665537766, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665537771, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665537776, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665537780, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=665537784"
